instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
Alabama A & M University,Normal,AL,Bachelor Degree,Southeast,City: Midsize,0.9027,18,4824,22886,NA,9857,18236,13246,32750,0.564030132
University of Alabama at Birmingham,Birmingham,AL,Bachelor Degree,Southeast,City: Midsize,0.9181,25,12866,24129,NA,8328,19032,14979.5,21833,0.63909074
Amridge University,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,NA,NA,322,15080,NA,6900,6900,10430,22890,0.648648649
University of Alabama in Huntsville,Huntsville,AL,Bachelor Degree,Southeast,City: Midsize,0.8123,28,6917,22108,NA,10280,21480,13522,22647,0.476349937
Alabama State University,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,0.9787,18,4189,19413,NA,11068,19396,15738,31500,0.61341853
The University of Alabama,Tuscaloosa,AL,Bachelor Degree,Southeast,City: Midsize,0.533,28,32387,28836,NA,10780,28100,17340,23290,0.615252417
Central Alabama Community College,Alexander City,AL,Associate Degree,Southeast,Town: Distant,NA,NA,1404,10045,NA,4440,8010,5764,9500,0.603738318
Athens State University,Athens,AL,Bachelor Degree,Southeast,Town: Fringe,NA,NA,2801,NA,NA,NA,NA,13461,18000,0.705078125
Auburn University at Montgomery,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,0.8254,22,4211,19892,NA,8020,17140,10750,23363,0.69294809
Auburn University,Auburn,AL,Bachelor Degree,Southeast,City: Small,0.8393,27,23391,30458,NA,10968,29640,17000,21500,0.531504671
Birmingham Southern College,Birmingham,AL,Bachelor Degree,Southeast,City: Midsize,0.6186,26,1283,50400,NA,35804,35804,19500,26045,0.520361991
Chattahoochee Valley Community College,Phenix City,AL,Associate Degree,Southeast,Rural: Fringe,NA,NA,1370,6854,NA,4314,7884,6500,10500,0.611965812
Concordia College Alabama,Selma,AL,Associate Degree,Southeast,Town: Distant,NA,NA,389,27620,NA,10320,10320,9500,35000,0.329177057
South University-Montgomery,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,NA,NA,369,26613,NA,17014,17014,10919,25000,0.762866865
Enterprise State Community College,Enterprise,AL,Associate Degree,Southeast,Town: Distant,NA,NA,1365,9289,NA,4440,8010,5000,6676,0.516587678
Coastal Alabama Community College,Bay Minette,AL,Associate Degree,Southeast,Town: Distant,NA,NA,4101,12558,NA,4380,7890,5500,11000,0.653179191
Faulkner University,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,0.5101,20,2272,31720,NA,20970,20970,14450,22850,0.638731597
Gadsden State Community College,Gadsden,AL,Certificate Degree,Southeast,City: Small,NA,NA,4349,9701,NA,3600,6456,NA,NA,0.618060696
New Beginning College of Cosmetology,Albertville,AL,Certificate Degree,Southeast,Town: Distant,NA,NA,83,NA,13543,NA,NA,5500,5900,NA
George C Wallace Community College-Dothan,Dothan,AL,Associate Degree,Southeast,City: Small,NA,NA,3836,9298,NA,4380,7950,NA,NA,0.667740451
George C Wallace State Community College-Hanceville,Hanceville,AL,Associate Degree,Southeast,Town: Distant,NA,NA,4805,11408,NA,3726,6582,7750,10500,0.63122102
George C Wallace State Community College-Selma,Selma,AL,Associate Degree,Southeast,Town: Distant,NA,NA,1217,14571,NA,4140,7710,NA,NA,0.599134199
Herzing University-Birmingham,Birmingham,AL,Certificate Degree,Southeast,Suburb: Large,0.757,NA,537,27797,NA,13850,13850,11766,23139.5,0.813546519
Huntingdon College,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,0.5598,22,1099,34675,NA,26400,26400,16950,27000,0.470414201
Heritage Christian University,Florence,AL,Bachelor Degree,Southeast,City: Small,1,20,59,NA,NA,11232,11232,10500,NA,NA
J. F. Drake State Community and Technical College,Huntsville,AL,Certificate Degree,Southeast,City: Midsize,NA,NA,685,11514,NA,4410,7980,NA,NA,0.561085973
J F Ingram State Technical College,Deatsville,AL,Certificate Degree,Southeast,Suburb: Large,NA,NA,449,5496,NA,4968,4968,NA,NA,0.229357798
Jacksonville State University,Jacksonville,AL,Bachelor Degree,Southeast,City: Small,0.5402,23,6622,20890,NA,8166,15582,16450,23500,0.588679245
Jefferson Davis Community College,Brewton,AL,Associate Degree,Southeast,Town: Distant,NA,NA,720,11677,NA,4088,7598,NA,NA,0.650623886
Jefferson State Community College,Birmingham,AL,Associate Degree,Southeast,City: Midsize,NA,NA,7052,13017,NA,4500,8070,3793.5,7368,0.660555005
John C Calhoun State Community College,Tanner,AL,Associate Degree,Southeast,Rural: Fringe,NA,NA,8247,9907,NA,4520,8090,5500,10592.5,0.580948019
Judson College,Marion,AL,Bachelor Degree,Southeast,Rural: Remote,0.507,22,315,30306,NA,17896,17896,9500,21744,NA
Lawson State Community College,Birmingham,AL,Certificate Degree,Southeast,City: Midsize,NA,NA,3034,13685,NA,4440,8010,NA,NA,0.568218299
University of West Alabama,Livingston,AL,Bachelor Degree,Southeast,Rural: Remote,0.2821,21,2106,19671,NA,9204,16818,13000,26500,0.557758621
Lurleen B Wallace Community College,Andalusia,AL,Associate Degree,Southeast,Rural: Fringe,NA,NA,1354,13663,NA,4440,8010,NA,NA,0.624417521
Marion Military Institute,Marion,AL,Associate Degree,Southeast,Rural: Remote,0.5587,23,444,18568,NA,9418,15418,5500,11500,0.234042553
Miles College,Fairfield,AL,Bachelor Degree,Southeast,Suburb: Large,NA,NA,1647,22346,NA,11794,11794,11858,33754.5,0.46680791
University of Mobile,Mobile,AL,Bachelor Degree,Southeast,Rural: Fringe,0.4702,23,1276,35256,NA,22210,22210,16750,26579.5,0.673280423
University of Montevallo,Montevallo,AL,Bachelor Degree,Southeast,Suburb: Large,0.6445,23,2329,23938,NA,12400,25030,17028,24264,0.682758621
Northwest-Shoals Community College,Muscle Shoals,AL,Associate Degree,Southeast,City: Small,NA,NA,2698,11386,NA,4411,7921,5809.5,13000,0.618031992
University of North Alabama,Florence,AL,Bachelor Degree,Southeast,City: Small,0.7022,22,5771,18223,NA,8480,15128,12750,22309,0.601393189
Northeast Alabama Community College,Rainsville,AL,Certificate Degree,Southeast,Rural: Distant,NA,NA,1983,8350,NA,4440,8010,3350,4000,0.602629657
Oakwood University,Huntsville,AL,Bachelor Degree,Southeast,City: Midsize,0.4707,20,1623,35577,NA,16720,16720,26500,31000,0.586080586
Alabama Southern Community College,Monroeville,AL,Associate Degree,Southeast,Rural: Fringe,NA,NA,765,11265,NA,4380,7890,NA,NA,0.595719382
Reid State Technical College,Evergreen,AL,Certificate Degree,Southeast,Rural: Fringe,NA,NA,285,8804,NA,4500,8070,NA,NA,0.741144414
Bishop State Community College,Mobile,AL,Certificate Degree,Southeast,City: Midsize,NA,NA,2623,10349,NA,4440,8010,NA,NA,0.605971405
Samford University,Birmingham,AL,Bachelor Degree,Southeast,Suburb: Large,0.8319,26,3364,44896,NA,30490,30490,15832,20702,0.658878505
Selma University,Selma,AL,Bachelor Degree,Southeast,Town: Distant,NA,NA,311,NA,NA,7115,7115,5500,26200,0.522033898
Shelton State Community College,Tuscaloosa,AL,Associate Degree,Southeast,City: Midsize,NA,NA,4230,11414,NA,4189,7759,NA,NA,0.59015025
Snead State Community College,Boaz,AL,Associate Degree,Southeast,Town: Distant,NA,NA,1891,10704,NA,4500,8070,3529.5,6000,0.627195836
University of South Alabama,Mobile,AL,Bachelor Degree,Southeast,City: Midsize,0.8208,23,10712,18857,NA,7812,15324,15000,24761,0.622936763
Spring Hill College,Mobile,AL,Bachelor Degree,Southeast,City: Midsize,0.4568,24,1375,50787,NA,37584,37584,20500,NA,0.645259939
Stillman College,Tuscaloosa,AL,Bachelor Degree,Southeast,City: Midsize,0.4812,NA,633,20205,NA,10792,10792,12500,33500,0.461005199
Talladega College,Talladega,AL,Bachelor Degree,Southeast,Town: Distant,NA,NA,782,22314,NA,12340,12340,22463.5,31000,0.489754098
H Councill Trenholm State Community College,Montgomery,AL,Certificate Degree,Southeast,City: Midsize,NA,NA,1610,11798,NA,4350,7920,NA,NA,0.53892821
Troy University,Troy,AL,Bachelor Degree,Southeast,Town: Remote,0.8812,22,13634,18585,NA,8692,16276,14250,25000,0.651015435
Tuskegee University,Tuskegee,AL,Bachelor Degree,Southeast,Town: Distant,0.5032,21,2833,36673,NA,22170,22170,25432.5,32500,0.65095057
United States Sports Academy,Daphne,AL,Bachelor Degree,Southeast,City: Small,NA,NA,88,NA,NA,NA,NA,15344,NA,0.23943662
Bevill State Community College,Jasper,AL,Associate Degree,Southeast,Town: Distant,NA,NA,3029,13164,NA,4766,8574,NA,NA,0.649653122
University of Alaska Anchorage,Anchorage,AK,Bachelor Degree,Far West,City: Large,0.8283,NA,11332,19126,NA,6690,19494,9597,17833.5,0.598769988
Alaska Bible College,Palmer,AK,Bachelor Degree,Far West,Town: Distant,NA,NA,31,19560,NA,9350,9350,NA,NA,NA
University of Alaska Fairbanks,Fairbanks,AK,Bachelor Degree,Far West,Suburb: Small,0.767,21,4910,17168,NA,6262,19183,9500,15000,0.594048288
University of Alaska Southeast,Juneau,AK,Bachelor Degree,Far West,Town: Remote,0.7105,NA,1214,19176,NA,6828,19533,9151.5,16000,0.697855751
Alaska Pacific University,Anchorage,AK,Bachelor Degree,Far West,City: Large,0.86,NA,247,32489,NA,20760,20760,12900,19500,0.630136986
AVTEC-Alaska's Institute of Technology,Seward,AK,Certificate Degree,Far West,Rural: Remote,NA,NA,967,NA,10907,NA,NA,5256.5,5498.5,0.286516854
Charter College,Vancouver,WA,Certificate Degree,Far West,City: Midsize,NA,NA,2640,35332,NA,21908,21908,13208,14875,0.761269456
Alaska Career College,Anchorage,AK,Certificate Degree,Far West,City: Large,NA,NA,430,NA,22978,NA,NA,7199,8437,0.822115385
Empire Beauty School-Tucson,Tucson,AZ,Certificate Degree,Southwest,City: Large,NA,NA,118,NA,18323,NA,NA,8147,11766,0.944972486
Thunderbird School of Global Management,Glendale,AZ,Entirely Graduate Degree,Southwest,Suburb: Large,NA,NA,NA,NA,NA,NA,NA,14000,20000,0.556830661
American Institute of Trucking,Phoenix,AZ,Certificate Degree,Southwest,City: Large,NA,NA,244,NA,19888,NA,NA,5969,6002,0.144358795
Carrington College-Phoenix North,Phoenix,AZ,Certificate Degree,Southwest,City: Large,0.7062,NA,519,NA,23419,NA,NA,9196,9500,0.821158129
Carrington College-Mesa,Mesa,AZ,Certificate Degree,Southwest,City: Large,0.553,NA,500,NA,23430,NA,NA,9196,9500,0.821158129
Carrington College-Tucson,Tucson,AZ,Certificate Degree,Southwest,City: Large,0.9451,NA,269,NA,23000,NA,NA,9196,9500,0.821158129
CollegeAmerica-Flagstaff,Flagstaff,AZ,Associate Degree,Southwest,City: Small,NA,NA,78,31920,NA,16968,16968,16676.5,25732,0.681388013
Arizona Academy of Beauty-East,Tucson,AZ,Certificate Degree,Southwest,City: Large,NA,NA,54,NA,16184,NA,NA,4588,4942.5,NA
Platt College-Arizona Automotive Institute Arizona,Glendale,AZ,Certificate Degree,Southwest,Suburb: Large,NA,NA,785,NA,34050,NA,NA,9500,11332,0.51059207
Brookline College-Phoenix,Phoenix,AZ,Certificate Degree,Southwest,City: Large,NA,NA,1056,NA,35472,NA,NA,9500,9500,0.796095445
Arizona State University-Tempe,Tempe,AZ,Bachelor Degree,Southwest,City: Midsize,0.8415,26,42181,24353,NA,10792,27372,14000,20000,0.556830661
Arizona Western College,Yuma,AZ,Certificate Degree,Southwest,City: Small,NA,NA,6879,14774,NA,2660,9650,3500,4925,0.53229783
University of Arizona,Tucson,AZ,Bachelor Degree,Southwest,City: Large,0.8358,NA,33428,26080,NA,11877,35307,13000,19000,0.562853907
Southwest University of Visual Arts-Tucson,Tucson,AZ,Bachelor Degree,Southwest,City: Large,NA,NA,125,31146,NA,23044,23044,27875,51488.5,0.544554455
Central Arizona College,Coolidge,AZ,Certificate Degree,Southwest,Rural: Fringe,NA,NA,4822,10643,NA,2580,11100,5500,8584,0.598322148
Charles of Italy Beauty College,Lake Havasu City,AZ,Certificate Degree,Southwest,City: Small,NA,NA,51,NA,14074,NA,NA,7389,7612,NA
Cochise County Community College District,Sierra Vista,AZ,Associate Degree,Southwest,City: Small,NA,NA,3528,10987,NA,1968,6240,4500,6835.5,0.567677946
Empire Beauty School-Flagstaff,Flagstaff,AZ,Certificate Degree,Southwest,City: Small,NA,NA,37,NA,18196,NA,NA,9332,11526,0.94779478
Empire Beauty School-Chandler,Chandler,AZ,Certificate Degree,Southwest,Suburb: Large,NA,NA,66,NA,17569,NA,NA,9332,11526,0.94779478
Cortiva Institute-Tucson,Tucson,AZ,Certificate Degree,Southwest,City: Large,NA,NA,79,NA,22757,NA,NA,6333,6333,0.659367397
Avalon School of Cosmetology-Mesa,Mesa,AZ,Certificate Degree,Southwest,City: Large,NA,NA,298,NA,17138,NA,NA,6237,7442,0.956622773
Eastern Arizona College,Thatcher,AZ,Certificate Degree,Southwest,Town: Remote,NA,NA,3729,13128,NA,2550,11250,NA,NA,0.572383074
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,Bachelor Degree,Southwest,Rural: Fringe,0.7652,26,2598,49912,NA,34662,34662,12250,24250,0.181643441
School of Architecture at Taliesin,Scottsdale,AZ,Entirely Graduate Degree,Southwest,Rural: Fringe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glendale Community College,Glendale,AZ,Certificate Degree,Southwest,Suburb: Large,NA,NA,14609,11472,NA,2094,7878,3500,6750,0.567874178
Grand Canyon University,Phoenix,AZ,Bachelor Degree,Southwest,City: Large,0.6692,NA,48666,31051,NA,17050,17050,12000,18750,0.743284234
GateWay Community College,Phoenix,AZ,Certificate Degree,Southwest,City: Large,NA,NA,4365,12967,NA,2094,7878,5556.5,9182,0.618181818
Mesa Community College,Mesa,AZ,Associate Degree,Southwest,City: Large,NA,NA,15759,12302,NA,2094,7878,3750,7741.5,0.54533645100000006
Mohave Community College,Kingman,AZ,Associate Degree,Southwest,Rural: Fringe,NA,NA,2875,12394,NA,2112,6972,7000,12750,0.630153121
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,Certificate Degree,Southwest,City: Large,NA,NA,1020,NA,21464,NA,NA,12722,15838,0.038736492
Dine College,Tsaile,AZ,Associate Degree,Southwest,Rural: Remote,NA,NA,1363,11187,NA,1410,1410,NA,NA,0.634746922
Northern Arizona University,Flagstaff,AZ,Bachelor Degree,Southwest,City: Small,0.8085,NA,26974,26314,NA,11059,24841,12500,19500,0.63858145
Northland Pioneer College,Holbrook,AZ,Certificate Degree,Southwest,Rural: Fringe,NA,NA,1453,13336,NA,1808,8360,NA,NA,0.62244898
Ottawa University-Phoenix,Phoenix,AZ,Bachelor Degree,Southwest,City: Large,NA,NA,329,NA,NA,NA,NA,12584,21257,0.62745098
Phoenix College,Phoenix,AZ,Associate Degree,Southwest,City: Large,NA,NA,9147,11788,NA,2094,7878,6000,9521,0.629852997
Cortiva Institute-Scottsdale,Scottsdale,AZ,Certificate Degree,Southwest,City: Midsize,NA,NA,82,NA,20747,NA,NA,7600,7600,0.71978022
Pima Community College,Tucson,AZ,Certificate Degree,Southwest,City: Large,NA,NA,20165,8821,NA,2118,7434,3500,6500,0.544242832
Pima Medical Institute-Tucson,Tucson,AZ,Certificate Degree,Southwest,City: Large,NA,NA,2300,NA,25397,NA,NA,8445,8708,0.831303808
Pima Medical Institute-Albuquerque,Albuquerque,NM,Certificate Degree,Southwest,City: Large,NA,NA,820,NA,22266,NA,NA,8445,8708,0.831303808
Prescott College,Prescott,AZ,Bachelor Degree,Southwest,City: Small,0.9526,23,350,38882,NA,30501,30501,14962,19208.5,0.695652174
Refrigeration School Inc,Phoenix,AZ,Certificate Degree,Southwest,City: Large,NA,NA,732,NA,26842,NA,NA,9500,11612,0.025592417
Rio Salado College,Tempe,AZ,Certificate Degree,Southwest,City: Midsize,NA,NA,6086,10784,NA,2094,7878,3396,7560,0.675738172
Roberto-Venn School of Luthiery,Phoenix,AZ,Certificate Degree,Southwest,City: Large,NA,NA,24,NA,24075,NA,NA,7307,NA,NA
Hair Academy of Safford,Safford,AZ,Certificate Degree,Southwest,Rural: Fringe,NA,NA,38,NA,14108,NA,NA,9500,NA,NA
Scottsdale Community College,Scottsdale,AZ,Associate Degree,Southwest,Rural: Fringe,NA,NA,6025,11892,NA,2094,7878,4261,7207,0.531848378
South Mountain Community College,Phoenix,AZ,Associate Degree,Southwest,City: Large,NA,NA,3167,11292,NA,2094,7878,4500,8575,0.593793423
Arizona Christian University,Phoenix,AZ,Bachelor Degree,Southwest,City: Large,0.6444,18,696,37675,NA,24958,24958,9500,18850,0.289473684
Universal Technical Institute of Arizona Inc,Avondale,AZ,Associate Degree,Southwest,Suburb: Midsize,NA,NA,1860,NA,24484,NA,NA,12813,17365,0.037645752
Western International University,Tempe,AZ,Bachelor Degree,Southwest,City: Midsize,NA,NA,597,11330,NA,6000,6000,10035.5,26255.5,0.668650794
Empire Beauty School-NW Phoenix,Phoenix,AZ,Certificate Degree,Southwest,City: Large,NA,NA,109,NA,18142,NA,NA,8915,11709,0.933764136
Yavapai College,Prescott,AZ,Certificate Degree,Southwest,City: Small,NA,NA,4682,11524,NA,2280,8976,6196,9550,0.563628727
University of Arkansas at Little Rock,Little Rock,AR,Bachelor Degree,Southeast,City: Midsize,0.7463,22,6677,21377,NA,8998,21208,12375,19750,0.646490999
University of Arkansas for Medical Sciences,Little Rock,AR,Bachelor Degree,Southeast,City: Midsize,NA,NA,633,NA,NA,NA,NA,12500,14000,0.8375
Arkansas Baptist College,Little Rock,AR,Associate Degree,Southeast,City: Midsize,NA,NA,593,22512,NA,8760,8760,9500,29750,0.250285714
Arkansas Beauty School-Little Rock,Little Rock,AR,Certificate Degree,Southeast,City: Midsize,NA,NA,129,NA,24849,NA,NA,6332,6333,0.922651934
Arkansas Beauty College,Russellville,AR,Certificate Degree,Southeast,Town: Remote,NA,NA,27,NA,14522,NA,NA,5916.5,6422,NA
Lyon College,Batesville,AR,Bachelor Degree,Southeast,Town: Remote,0.6418,25,664,36824,NA,27340,27340,12000,24720,0.432506887
Arkansas College of Barbering and Hair Design,North Little Rock,AR,Certificate Degree,Southeast,City: Small,NA,NA,127,NA,21288,NA,NA,9500,16355,0.342696629
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,Certificate Degree,Southeast,City: Small,NA,NA,41,NA,15610,NA,NA,7000,12102.5,NA
University of Arkansas,Fayetteville,AR,Bachelor Degree,Southeast,City: Small,0.6596,26,22763,22122,NA,9062,24308,14181,21500,0.558819396
University of Arkansas at Pine Bluff,Pine Bluff,AR,Bachelor Degree,Southeast,City: Small,0.4669,18,2510,16264,NA,7408,13738,12250,26196.5,0.596085409
Arkansas State University-Beebe,Beebe,AR,Certificate Degree,Southeast,Town: Fringe,NA,NA,2645,13260,NA,3570,5730,4500,5500,0.598130841
Arkansas State University-Main Campus,Jonesboro,AR,Bachelor Degree,Southeast,City: Small,0.6602,24,8856,20952,NA,8478,14778,12500,19500,0.610874916
Arkansas Tech University,Russellville,AR,Bachelor Degree,Southeast,Town: Remote,0.9475,NA,8247,18143,NA,7104,12528,10941,18000,0.566136413
University of Arkansas at Monticello,Monticello,AR,Certificate Degree,Southeast,Town: Remote,NA,NA,2589,17690,NA,7462,13312,7054.5,14000,0.537007874
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,Certificate Degree,Southeast,Suburb: Large,NA,NA,59,NA,14775,NA,NA,9383,13417,0.937198068
Baptist Health College Little Rock,Little Rock,AR,Associate Degree,Southeast,City: Midsize,0.6875,23,676,21677,NA,9867,9867,9500,11000,0.864
Black River Technical College,Pocahontas,AR,Certificate Degree,Southeast,Rural: Fringe,NA,NA,1216,12519,NA,3120,5448,6500,7950,0.610810811
University of Central Arkansas,Conway,AR,Bachelor Degree,Southeast,City: Small,0.8995,24,9034,20702,NA,8524,15047,12000,20900.5,0.616556129
Central Baptist College,Conway,AR,Bachelor Degree,Southeast,City: Small,0.6755,20,676,24453,NA,15750,15750,13996.5,28250,0.460992908
Cossatot Community College of the University of Arkansas,De Queen,AR,Certificate Degree,Southeast,Rural: Fringe,NA,NA,955,10186,NA,3210,4080,NA,NA,0.675977654
Crowley's Ridge College,Paragould,AR,Bachelor Degree,Southeast,Rural: Fringe,NA,NA,192,20416,NA,12250,12250,9500,21258,0.392156863
Crowley's Ridge Technical Institute,Forrest City,AR,Certificate Degree,Southeast,Town: Distant,NA,NA,164,9540,NA,1350,1350,NA,NA,0.444444444
East Arkansas Community College,Forrest City,AR,Certificate Degree,Southeast,Town: Distant,NA,NA,565,10806,NA,2850,3660,2000,3499,0.665882353
Eastern College of Health Vocations-Little Rock,Little Rock,AR,Certificate Degree,Southeast,City: Midsize,NA,NA,115,NA,15240,NA,NA,3731,4179.5,0.956866197
Imagine-Paul Mitchell Partner School,North Little Rock,AR,Certificate Degree,Southeast,City: Small,NA,NA,385,NA,18964,NA,NA,9833,12965,0.966725044
National Park College,Hot Springs,AR,Associate Degree,Southeast,Suburb: Small,NA,NA,2140,13301,NA,3450,4950,7142.5,10267,0.592087312
University of Arkansas Community College-Batesville,Batesville,AR,Certificate Degree,Southeast,Town: Remote,NA,NA,954,10928,NA,2466,4218,6000,9188,0.675742574
Harding University,Searcy,AR,Bachelor Degree,Southeast,Town: Distant,0.7212,25,4147,28754,NA,19385,19385,19692,27000,0.568291009
Henderson State University,Arkadelphia,AR,Bachelor Degree,Southeast,Town: Distant,0.7968,22,2829,20913,NA,8530,10180,11000,20050,0.554341576
Hendrix College,Conway,AR,Bachelor Degree,Southeast,City: Small,0.798,28,1233,58040,NA,44070,44070,21500,27000,0.505952381
Hot Springs Beauty College,Hot Springs,AR,Certificate Degree,Southeast,City: Small,NA,NA,38,NA,13642,NA,NA,5500,NA,NA
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,Certificate Degree,Southeast,City: Small,NA,NA,65,NA,NA,NA,NA,11968.5,15880.5,0.88372093
John Brown University,Siloam Springs,AR,Bachelor Degree,Southeast,Town: Distant,0.7579,27,1606,37814,NA,26144,26144,16795,20500,0.615584416
Career Academy of Hair Design,Springdale,AR,Certificate Degree,Southeast,City: Small,NA,NA,169,NA,15656,NA,NA,6365,6389.5,0.935393258
Academy of Salon and Spa,Fort Smith,AR,Certificate Degree,Southeast,City: Small,NA,NA,58,NA,17015,NA,NA,6333,9833,NA
Arkansas State University Mid-South,West Memphis,AR,Certificate Degree,Southeast,Suburb: Large,NA,NA,873,14830,NA,2674,4114,NA,NA,0.639473684
Arkansas Northeastern College,Blytheville,AR,Certificate Degree,Southeast,Rural: Fringe,NA,NA,1002,11124,NA,2290,3970,3000,NA,0.6414791
New Tyler Barber College Inc,North Little Rock,AR,Certificate Degree,Southeast,City: Small,NA,NA,50,NA,20157,NA,NA,9500,NA,0.415384615
North Arkansas College,Harrison,AR,Certificate Degree,Southeast,Town: Remote,NA,NA,1466,9853,NA,2208,4560,5465,7000,0.558922559
Northwest Technical Institute,Springdale,AR,Certificate Degree,Southeast,City: Small,NA,NA,175,7851,NA,2321,2321,NA,NA,0.389830509
Ouachita Baptist University,Arkadelphia,AR,Bachelor Degree,Southeast,Town: Distant,0.7094,25,1513,35685,NA,25870,25870,14607.5,21500,0.494505495
College of the Ouachitas,Malvern,AR,Certificate Degree,Southeast,Town: Fringe,NA,NA,642,11662,NA,3680,6530,7000,9412,0.744408946
Ozarka College,Melbourne,AR,Certificate Degree,Southeast,Rural: Remote,NA,NA,852,10866,NA,2932,5284,6500,NA,0.697530864
University of the Ozarks,Clarksville,AR,Bachelor Degree,Southeast,Town: Remote,0.8915,21,745,35426,NA,23750,23750,6500,20500,0.485955056
University of Arkansas Community College-Morrilton,Morrilton,AR,Certificate Degree,Southeast,Town: Distant,0.7506,NA,1796,9563,NA,3092,4004,5000,6822,0.605762934
Philander Smith College,Little Rock,AR,Bachelor Degree,Southeast,City: Midsize,NA,NA,887,25499,NA,12714,12714,12750,30875,0.623243934
Phillips Community College of the University of Arkansas,Helena,AR,Certificate Degree,Southeast,Rural: Fringe,NA,NA,654,10419,NA,2810,4610,3000,NA,0.662207358
Southeast Arkansas College,Pine Bluff,AR,Certificate Degree,Southeast,City: Small,NA,NA,1087,12380,NA,3460,6280,4064,6652.5,0.651920838
Professional Cosmetology Education Center,El Dorado,AR,Certificate Degree,Southeast,Town: Remote,NA,NA,28,NA,11555,NA,NA,9833,NA,NA
University of Arkansas-Pulaski Technical College,North Little Rock,AR,Certificate Degree,Southeast,City: Small,NA,NA,5184,14794,NA,5170,6340,9000,15147,0.613836121
University of Arkansas Community College-Hope,Hope,AR,Certificate Degree,Southeast,Town: Distant,NA,NA,1492,11775,NA,2740,5260,2625,NA,0.689581096
University of Arkansas Community College Rich Mountain,Mena,AR,Certificate Degree,Southeast,Town: Remote,NA,NA,481,10599,NA,2688,5640,NA,NA,0.650990099
Paul Mitchell the School-Arkansas,Fayetteville,AR,Certificate Degree,Southeast,City: Small,NA,NA,106,NA,23249,NA,NA,9833,11115,0.904458599
Searcy Beauty College,Searcy,AR,Certificate Degree,Southeast,Town: Distant,NA,NA,67,NA,23962,NA,NA,8750,12653,NA
Shorter College,N Little Rock,AR,Associate Degree,Southeast,City: Small,NA,NA,521,21444,NA,4904,4904,9500,27861,0.472543353
Williams Baptist University,Walnut Ridge,AR,Bachelor Degree,Southeast,Rural: Distant,0.6241,20,452,28274,NA,17320,17320,11952,19000,0.434615385
South Arkansas Community College,El Dorado,AR,Certificate Degree,Southeast,Town: Remote,NA,NA,1100,11306,NA,2628,4764,7500,9471,0.732793522
Southern Arkansas University Main Campus,Magnolia,AR,Bachelor Degree,Southeast,Town: Remote,0.6945,22,3153,21252,NA,8346,12156,9500,16750,0.561941964
Southern Arkansas University Tech,Camden,AR,Certificate Degree,Southeast,Rural: Distant,NA,NA,667,17339,NA,4810,6250,4500,5500,0.56445993
Velvatex College of Beauty Culture,Little Rock,AR,Certificate Degree,Southeast,City: Midsize,NA,NA,14,NA,13337,NA,NA,NA,NA,NA
University of Arkansas-Fort Smith,Fort Smith,AR,Bachelor Degree,Southeast,City: Small,NA,NA,5455,16554,NA,5577,12650,7388,14000,0.563676633
Academy of Art University,San Francisco,CA,Bachelor Degree,Far West,City: Large,NA,NA,7520,38666,NA,21252,21252,12500,35688,0.573198198
Academy of Chinese Culture and Health Sciences,Oakland,CA,Entirely Graduate Degree,Far West,City: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,Certificate Degree,Far West,Suburb: Large,NA,NA,14,NA,28685,NA,NA,9500,9500,0.423076923
Avalon School of Cosmetology-Alameda,Alameda,CA,Certificate Degree,Far West,Suburb: Large,NA,NA,125,NA,18124,NA,NA,6212,6332,NA
College of Alameda,Alameda,CA,Certificate Degree,Far West,Suburb: Large,NA,NA,4458,15308,NA,1230,7110,6000,NA,0.542962963
Allan Hancock College,Santa Maria,CA,Associate Degree,Far West,City: Midsize,NA,NA,9282,10348,NA,1352,6784,6000,9500,0.537003281
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,Associate Degree,Far West,City: Large,0.7859,NA,280,48240,NA,34170,34170,12000,12000,0.595238095
American Baptist Seminary of the West,Berkeley,CA,Entirely Graduate Degree,Far West,City: Midsize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Film Institute Conservatory,Los Angeles,CA,Entirely Graduate Degree,Far West,City: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Beauty College,West Covina,CA,Certificate Degree,Far West,Suburb: Large,NA,NA,118,NA,15743,NA,NA,4750,5635,0.493150685
