instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
National American University-Roseville,Roseville,MN,Associate Degree,Plains,Suburb: Large,NA,NA,99,NA,NA,15000,15000,14765,30223,0.758220503
Normandale Community College,Bloomington,MN,Associate Degree,Plains,City: Small,NA,NA,7222,16045,NA,5790,5790,7331.5,12000,0.559843786
North Central University,Minneapolis,MN,Bachelor Degree,Plains,City: Large,0.9074,23,893,33232,NA,23480,23480,19625,25062.5,0.568228106
Northland Community and Technical College,Thief River Falls,MN,Certificate Degree,Plains,Town: Remote,NA,NA,2300,15108,NA,5549,5549,8542,13300,0.517553794
University of Northwestern-St Paul,Saint Paul,MN,Bachelor Degree,Plains,Suburb: Large,0.934,24,1827,41627,NA,30794,30794,18875.5,21594,0.5782881
Northwestern Health Sciences University,Bloomington,MN,Bachelor Degree,Plains,City: Small,NA,NA,43,17596,NA,10684,10684,8300,8300,0.596244132
Oak Hills Christian College,Bemidji,MN,Bachelor Degree,Plains,Town: Remote,0.2653,9,94,28071,NA,17314,17314,11750,25250,0.458333333
Pine Technical & Community College,Pine City,MN,Certificate Degree,Plains,Town: Remote,NA,NA,686,15197,NA,4066,7741,11000,17765.5,0.567107751
Rainy River Community College,International Falls,MN,Associate Degree,Plains,Town: Remote,NA,NA,176,13077,NA,5325,6507,5500,7100,0.441176471
Rochester Community and Technical College,Rochester,MN,Associate Degree,Plains,City: Midsize,NA,NA,4204,18631,NA,5636,5636,8500,14250,0.573212259
College of Saint Benedict,Saint Joseph,MN,Bachelor Degree,Plains,Suburb: Midsize,0.8058,25,1937,55095,NA,43738,43738,25411,27000,NA
St Cloud Technical and Community College,Saint Cloud,MN,Associate Degree,Plains,City: Small,NA,NA,3765,13026,NA,5359,5359,7288.5,12000,0.514141414
Saint Cloud State University,Saint Cloud,MN,Bachelor Degree,Plains,City: Small,0.8578,21,9676,19068,NA,8228,16462,13374.5,21997,0.549813201
Saint Johns University,Collegeville,MN,Bachelor Degree,Plains,Rural: Fringe,0.8023,25,1720,53964,NA,43356,43356,25000,27000,NA
Saint Mary's University of Minnesota,Winona,MN,Bachelor Degree,Plains,Town: Distant,0.6438,23,1471,43897,NA,33560,33560,17376,23250,0.597074468
St Olaf College,Northfield,MN,Bachelor Degree,Plains,Town: Distant,0.4322,28,3004,56160,NA,46000,46000,24500,27000,0.542669584
Crown College,Saint Bonifacius,MN,Bachelor Degree,Plains,Rural: Fringe,0.512,22,853,37926,NA,25430,25430,17340,24500,0.521472393
The College of Saint Scholastica,Duluth,MN,Bachelor Degree,Plains,City: Small,0.6825,23,2626,47344,NA,36212,36212,16808,20197,0.755102041
University of St Thomas,Saint Paul,MN,Bachelor Degree,Plains,City: Large,0.8416,27,6085,52586,NA,41133,41133,21500,25000,0.488041002
Empire Beauty School-Bloomington,Bloomington,MN,Certificate Degree,Plains,City: Small,NA,NA,121,NA,18320,NA,NA,8028,11522,0.951546994
St Catherine University,Saint Paul,MN,Bachelor Degree,Plains,City: Large,0.7013,23,3100,47149,NA,38170,38170,21500,26938,0.95110316
Rasmussen College-Minnesota,St. Cloud,MN,Associate Degree,Plains,City: Small,NA,NA,3848,21689,NA,10935,10935,9774,18254,0.814446146
Saint Paul College,Saint Paul,MN,Certificate Degree,Plains,City: Large,NA,NA,5471,17268,NA,5560,5560,8641,11250,0.538353929
Southwest Minnesota State University,Marshall,MN,Bachelor Degree,Plains,Town: Remote,0.6163,21,2133,20068,NA,8610,8610,13200,20500,0.597701149
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,Certificate Degree,Plains,City: Large,NA,NA,371,NA,12144,NA,NA,NA,NA,0.427892235
United Theological Seminary of the Twin Cities,New Brighton,MN,Entirely Graduate Degree,Plains,Suburb: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vermilion Community College,Ely,MN,Associate Degree,Plains,Town: Remote,NA,NA,459,15081,NA,5325,6506,6500,12000,0.248780488
Dunwoody College of Technology,Minneapolis,MN,Associate Degree,Plains,City: Large,0.7275,NA,1288,26772,NA,21610,21610,12000,15649,0.166666667
Ridgewater College,Willmar,MN,Associate Degree,Plains,Town: Remote,NA,NA,2678,16314,NA,5759,5759,8607.5,12000,0.514917696
Minnesota State College Southeast,Winona,MN,Certificate Degree,Plains,Town: Distant,NA,NA,1388,17315,NA,5630,5630,9500,11500,0.536514119
Winona State University,Winona,MN,Bachelor Degree,Plains,Town: Distant,0.665,23,7308,21547,NA,9379,15302,16815.5,23206,0.664431576
Mitchell Hamline School of Law,Saint Paul,MN,Entirely Graduate Degree,Plains,City: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Century College,White Bear Lake,MN,Associate Degree,Plains,Suburb: Large,NA,NA,7502,14643,NA,5417,5417,9254.5,14148.5,0.560162021
Aquinas Institute of Theology,Saint Louis,MO,Entirely Graduate Degree,Plains,City: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avila University,Kansas City,MO,Bachelor Degree,Plains,City: Large,0.3886,21,1229,37233,NA,28020,28020,17770,26000,0.629274966
Baptist Bible College,Springfield,MO,Bachelor Degree,Plains,City: Midsize,NA,NA,268,21481,NA,13850,13850,12125,25250,0.564593301
House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,Certificate Degree,Plains,Suburb: Large,NA,NA,111,NA,20364,NA,NA,6333,7917,0.958064516
Cox College,Springfield,MO,Bachelor Degree,Plains,City: Midsize,1,NA,730,20742,NA,11410,11410,17381,19576,0.854545455
Calvary University,Kansas City,MO,Bachelor Degree,Plains,City: Large,0.7436,22,222,19130,NA,11152,11152,10334,21392,0.403508772
Cape Girardeau Career and Technology Center,Cape Girardeau,MO,Certificate Degree,Plains,City: Small,NA,NA,248,NA,16875,NA,NA,9500,9500,0.751219512
Central Christian College of the Bible,Moberly,MO,Bachelor Degree,Plains,Town: Distant,0.2135,19,226,24268,NA,13900,13900,7971.5,16100,0.361290323
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,Bachelor Degree,Plains,Town: Distant,0.9561,23,1059,36760,NA,23770,23770,12500,16950,0.689956332
University of Central Missouri,Warrensburg,MO,Bachelor Degree,Plains,Town: Distant,0.836,22,8589,18309,NA,7520,14150,14826.5,21500,0.588794154
Grand River Technical School,Chillicothe,MO,Certificate Degree,Plains,Town: Remote,0.9091,NA,71,NA,13386,NA,NA,NA,NA,NA
Cleveland University-Kansas City,Overland Park,KS,Bachelor Degree,Plains,City: Midsize,0.8,NA,39,33556,NA,14800,14800,10500,10500,0.553846154
Columbia Area Career Center,Columbia,MO,Certificate Degree,Plains,City: Midsize,0.8214,NA,57,NA,23485,NA,NA,5900,NA,0.795081967
Columbia College,Columbia,MO,Bachelor Degree,Plains,City: Midsize,NA,NA,11975,33112,NA,21936,21936,12993,22250,0.623674218
Conception Seminary College,Conception,MO,Bachelor Degree,Plains,Rural: Distant,1,23,67,35522,NA,21526,21526,18137,NA,NA
Concordia Seminary,Saint Louis,MO,Entirely Graduate Degree,Plains,Suburb: Large,NA,NA,NA,NA,NA,NA,NA,8000,NA,NA
Cottey College,Nevada,MO,Associate Degree,Plains,Town: Remote,0.6409,21,265,29885,NA,20200,20200,9207.5,12000,NA
Covenant Theological Seminary,Saint Louis,MO,Entirely Graduate Degree,Plains,Suburb: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowder College,Neosho,MO,Associate Degree,Plains,Town: Distant,NA,NA,3344,9751,NA,2664,3840,5248,8000,0.626364739
Culver-Stockton College,Canton,MO,Bachelor Degree,Plains,Rural: Remote,0.5466,21,1029,37135,NA,26040,26040,16753,27000,0.523489933
Drury University,Springfield,MO,Bachelor Degree,Plains,City: Midsize,0.6608,26,2971,36249,NA,27015,27015,13821,23000,0.603750756
East Central College,Union,MO,Associate Degree,Plains,Rural: Fringe,NA,NA,2163,12216,NA,2592,4896,7178.5,9625,0.661712668
Eden Theological Seminary,Webster Groves,MO,Entirely Graduate Degree,Plains,Suburb: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaine Steven Beauty College,Saint Louis,MO,Certificate Degree,Plains,Suburb: Large,NA,NA,122,NA,16818,NA,NA,9500,12464,NA
Pinnacle Career Institute-South Kansas City,Kansas City,MO,Certificate Degree,Plains,City: Large,NA,NA,235,NA,21381,NA,NA,10644,12546,0.628421053
Evangel University,Springfield,MO,Bachelor Degree,Plains,City: Midsize,0.9935,22,1627,34771,NA,22745,22745,17250,24249.5,0.550573514
Fontbonne University,Saint Louis,MO,Bachelor Degree,Plains,Suburb: Large,0.9236,23,874,37775,NA,25460,25460,21500,25000,0.660091047
Four Rivers Career Center,Washington,MO,Certificate Degree,Plains,Town: Distant,NA,NA,33,18601,NA,14441,14441,9500,9500,NA
Ozarks Technical Community College,Springfield,MO,Associate Degree,Plains,City: Midsize,NA,NA,10618,11214,NA,3192,5352,7000,11657,0.594321594
Hannibal-LaGrange University,Hannibal,MO,Bachelor Degree,Plains,Town: Remote,0.5455,NA,744,32635,NA,21810,21810,13062,19050,0.679775281
Harris-Stowe State University,Saint Louis,MO,Bachelor Degree,Plains,City: Large,NA,NA,1423,12872,NA,5340,9973,9771,29750,0.670132325
Hickey College,Saint Louis,MO,Associate Degree,Plains,Suburb: Large,NA,NA,246,21795,NA,13920,13920,11705.5,12000,0.720977597
House of Heavilin Beauty College-Kansas City,Kansas City,MO,Certificate Degree,Plains,City: Large,NA,NA,27,NA,15983,NA,NA,8051.5,11300,NA
Independence College of Cosmetology,Independence,MO,Certificate Degree,Plains,Suburb: Large,NA,NA,65,NA,17371,NA,NA,9715,11664.5,NA
Jefferson College,Hillsboro,MO,Associate Degree,Plains,Rural: Fringe,NA,NA,4182,10021,NA,3300,6450,5560,9902,0.609767442
Paul Mitchell the School-Missouri Columbia,Columbia,MO,Certificate Degree,Plains,City: Midsize,NA,NA,79,NA,18109,NA,NA,9500,10541.5,NA
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,Bachelor Degree,Plains,City: Large,NA,NA,569,NA,NA,NA,NA,18176,19062,0.875
Kansas City Art Institute,Kansas City,MO,Bachelor Degree,Plains,City: Large,0.6719,24,659,51509,NA,37800,37800,23493,27000,0.733893557
Kenrick Glennon Seminary,Saint Louis,MO,Bachelor Degree,Plains,Suburb: Large,0.7059,NA,48,NA,NA,21540,21540,NA,NA,NA
A T Still University of Health Sciences,Kirksville,MO,Entirely Graduate Degree,Plains,Town: Remote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake Career and Technical Center,Camdenton,MO,Certificate Degree,Plains,Rural: Fringe,NA,NA,15,7050,NA,4500,4500,NA,NA,NA
Lex La-Ray Technical Center,Lexington,MO,Certificate Degree,Plains,Town: Distant,0.76,NA,31,NA,18927,NA,NA,14727,NA,NA
Lincoln University,Jefferson City,MO,Bachelor Degree,Plains,City: Small,NA,NA,2045,16516,NA,7632,14172,10500,23732.5,0.564926372
Lindenwood University,Saint Charles,MO,Bachelor Degree,Plains,City: Small,0.7375,23,6807,29322,NA,16960,16960,19500,26529,0.577721661
State Technical College of Missouri,Linn,MO,Associate Degree,Plains,Rural: Distant,NA,NA,1135,15684,NA,6060,11040,8750,10421,0.182875264
Logan University,Chesterfield,MO,Bachelor Degree,Plains,Suburb: Large,1,21,98,NA,NA,6860,6860,7048,6250,0.521367521
Metropolitan Community College-Kansas City,Kansas City,MO,Associate Degree,Plains,City: Large,NA,NA,14276,11556,NA,3120,7140,5251,8937,0.60371301
Lutheran School of Nursing,Saint Louis,MO,Certificate Degree,Plains,City: Large,1,NA,212,23229,NA,10598,10598,NA,NA,NA
Maryville University of Saint Louis,Saint Louis,MO,Bachelor Degree,Plains,Suburb: Large,0.9188,24,3112,43329,NA,28470,28470,18616,24539,0.694421989
Merrell University of Beauty Arts and Science,Jefferson City,MO,Certificate Degree,Plains,City: Small,NA,NA,55,NA,21877,NA,NA,9500,9500,NA
Metro Business College-Cape Girardeau,Cape Girardeau,MO,Certificate Degree,Plains,City: Small,NA,NA,61,16392,NA,11375,11375,9500,11483.5,0.875457876
Midwest Institute,Fenton,MO,Certificate Degree,Plains,Suburb: Large,0.9013,NA,270,NA,25021,NA,NA,9500,9500,0.881097561
Midwestern Baptist Theological Seminary,Kansas City,MO,Bachelor Degree,Plains,City: Large,0.9455,23,417,16832,NA,7810,7810,7917,14251,0.260416667
Mineral Area College,Park Hills,MO,Associate Degree,Plains,Town: Distant,NA,NA,2774,13530,NA,3520,6280,6565,8000,0.621983914
Missouri Baptist University,Saint Louis,MO,Bachelor Degree,Plains,Suburb: Large,0.545,21,1819,36242,NA,26020,26020,15250,22669,0.550401427
Missouri Southern State University,Joplin,MO,Bachelor Degree,Plains,City: Small,0.9508,22,5426,14467,NA,6067,11568,9750,19550,0.607025607
Missouri Valley College,Marshall,MO,Bachelor Degree,Plains,Town: Remote,0.5365,NA,1329,32169,NA,20200,20200,9500,27000,0.36281407
Missouri Western State University,Saint Joseph,MO,Bachelor Degree,Plains,City: Small,NA,NA,4171,17481,NA,7570,13465,11525,22000,0.618903972
University of Missouri-Columbia,Columbia,MO,Bachelor Degree,Plains,City: Midsize,0.7809,26,23455,25656,NA,9787,26506,17841,22000,0.543242492
University of Missouri-Kansas City,Kansas City,MO,Bachelor Degree,Plains,City: Large,0.6415,25,7854,21120,NA,8011,19793,15000,21000,0.606357616
Missouri University of Science and Technology,Rolla,MO,Bachelor Degree,Plains,Town: Remote,0.8351,28,6872,22045,NA,9246,25918,16998,24250,0.241320189
University of Missouri-St Louis,Saint Louis,MO,Bachelor Degree,Plains,Suburb: Large,0.7594,25,7362,21317,NA,9590,25505,16530,20460,0.609886837
Moberly Area Community College,Moberly,MO,Associate Degree,Plains,Town: Distant,NA,NA,3635,11778,NA,3300,6600,6500,9612.5,0.592382496
Hillyard Technical Center,Saint Joseph,MO,Certificate Degree,Plains,City: Small,0.4769,NA,106,NA,19774,NA,NA,9500,9500,0.717241379
Nazarene Theological Seminary,Kansas City,MO,Entirely Graduate Degree,Plains,City: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neosho Beauty College,Neosho,MO,Certificate Degree,Plains,Town: Distant,NA,NA,43,NA,11186,NA,NA,4584,5917,NA
Truman State University,Kirksville,MO,Bachelor Degree,Plains,Town: Remote,0.67490000000000006,27,5241,20633,NA,7656,14440,17250,22402,0.599009901
Northwest Missouri State University,Maryville,MO,Bachelor Degree,Plains,Town: Remote,0.7411,23,5065,18876,NA,7657,12908,13827,23557,0.6122856
Ozark Christian College,Joplin,MO,Bachelor Degree,Plains,City: Small,0.4922,22,577,21031,NA,12720,12720,12500,19047,0.502040816
College of the Ozarks,Point Lookout,MO,Bachelor Degree,Plains,Town: Distant,0.1348,24,1491,28912,NA,19130,19130,NA,NA,0.581730769
Park University,Parkville,MO,Bachelor Degree,Plains,Suburb: Large,0.6904,NA,9442,23850,NA,10774,10774,11118,18125,0.541274817
Stevens-The Institute of Business & Arts,Saint Louis,MO,Bachelor Degree,Plains,City: Large,NA,NA,121,21685,NA,12720,12720,21541,33233.5,0.86407767
Poplar Bluff Technical Career Center,Poplar Bluff,MO,Certificate Degree,Plains,Town: Remote,NA,NA,21,NA,16270,NA,NA,8815,9500,0.844660194
Ranken Technical College,Saint Louis,MO,Associate Degree,Plains,City: Large,NA,NA,1644,22042,NA,14457,14457,11800,12075,0.054545455
Research College of Nursing,Kansas City,MO,Bachelor Degree,Plains,City: Large,NA,NA,129,NA,NA,NA,NA,12385,13000,0.872483222
Rockhurst University,Kansas City,MO,Bachelor Degree,Plains,City: Large,0.7246,25,1623,49195,NA,36590,36590,16736,21500,0.621004566
Rolla Technical Institute/Center,Rolla,MO,Certificate Degree,Plains,Town: Remote,0.9348,NA,113,NA,11994,NA,NA,9263,9270,0.622641509
Saint Louis University,Saint Louis,MO,Bachelor Degree,Plains,City: Large,0.6443,28,7209,55055,NA,42166,42166,21500,25750,0.624110672
Salem College of Hairstyling,Rolla,MO,Certificate Degree,Plains,Town: Remote,NA,NA,45,NA,9698,NA,NA,NA,NA,NA
American College of Hair Design Inc,Sedalia,MO,Certificate Degree,Plains,Town: Remote,NA,NA,13,NA,15923,NA,NA,5500,NA,NA
Sikeston Career and Technology Center,Sikeston,MO,Certificate Degree,Plains,Town: Distant,NA,NA,43,NA,24111,NA,NA,NA,NA,0.820895522
Saint Louis Christian College,Florissant,MO,Bachelor Degree,Plains,Suburb: Large,0.24,18,78,18863,NA,11610,11610,21500,29000,0.293103448
St. Louis College of Pharmacy,Saint Louis,MO,Bachelor Degree,Plains,City: Large,0.7202,26,448,43509,NA,29451,29451,19500,19500,0.64469914
Saint Louis Community College,Bridgeton,MO,Associate Degree,Plains,Suburb: Large,NA,NA,16785,12051,NA,3285,6435,3500,6500,0.614713897
Saint Paul School of Theology,Leawood,KS,Entirely Graduate Degree,Plains,Suburb: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southwest Baptist University,Bolivar,MO,Bachelor Degree,Plains,Town: Distant,0.732,23,2252,32924,NA,23358,23358,14000,21735,0.652011923
Missouri State University-West Plains,West Plains,MO,Associate Degree,Plains,Town: Remote,NA,NA,1229,12502,NA,4230,7950,5500,10500,0.628571429
Saint Luke's College of Health Sciences,Kansas City,MO,Bachelor Degree,Plains,City: Large,NA,NA,478,NA,NA,NA,NA,19929,21680,0.914814815
St Louis College of Health Careers-St Louis,Saint Louis,MO,Certificate Degree,Plains,City: Large,NA,NA,258,NA,30893,NA,NA,9500,9668,0.924836601
State Fair Community College,Sedalia,MO,Associate Degree,Plains,Town: Remote,NA,NA,3517,9595,NA,2880,5640,6000,10500,0.631240545
Stephens College,Columbia,MO,Bachelor Degree,Plains,City: Midsize,0.5311,22,647,44234,NA,30344,30344,15811.5,25436,NA
Southeast Missouri State University,Cape Girardeau,MO,Bachelor Degree,Plains,City: Small,0.8455,23,8910,18567,NA,7185,12720,13485,22185,0.595410005
Missouri State University-Springfield,Springfield,MO,Bachelor Degree,Plains,City: Midsize,0.8404,24,17371,20482,NA,7306,14746,14750,22424,0.610305958
Three Rivers College,Poplar Bluff,MO,Certificate Degree,Plains,Town: Remote,NA,NA,2672,15499,NA,3810,6390,7498,10500,0.639071176
North Central Missouri College,Trenton,MO,Associate Degree,Plains,Town: Remote,NA,NA,1171,13864,NA,3510,6210,7245.5,10500,0.700564972
Kansas City University of Medicine and Biosciences,Kansas City,MO,Entirely Graduate Degree,Plains,City: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington University in St Louis,Saint Louis,MO,Bachelor Degree,Plains,Suburb: Large,0.1596,33,7253,69754,NA,51533,51533,18500,19500,0.534246575
Webster University,Saint Louis,MO,Bachelor Degree,Plains,Suburb: Large,0.5356,24,2954,41764,NA,27100,27100,17436,23225.5,0.604387827
Westminster College,Fulton,MO,Bachelor Degree,Plains,Town: Distant,0.9014,24,764,38279,NA,25940,25940,19000,26000,0.455555556
William Jewell College,Liberty,MO,Bachelor Degree,Plains,Suburb: Large,0.4763,26,928,46532,NA,33620,33620,20000,25000,0.595744681
William Woods University,Fulton,MO,Bachelor Degree,Plains,Town: Distant,0.7486,23,919,37412,NA,23260,23260,13902,20545,0.731462926
La'James International College,Fremont,NE,Certificate Degree,Plains,Town: Distant,NA,NA,17,NA,20955,NA,NA,10000,NA,NA
Bellevue University,Bellevue,NE,Bachelor Degree,Plains,Suburb: Large,NA,NA,5665,16865,NA,7752,7752,13150,19271,0.594844679
Clarkson College,Omaha,NE,Bachelor Degree,Plains,City: Large,0.6207,23,678,28645,NA,16290,16290,21000,24750,0.864559819
Bryan College of Health Sciences,Lincoln,NE,Bachelor Degree,Plains,City: Large,0.5234,23,552,26646,NA,15190,15190,23479,25873,0.920502092
Central Community College,Grand Island,NE,Certificate Degree,Plains,City: Small,NA,NA,3743,11693,NA,3000,4320,3500,5500,0.576500423
Chadron State College,Chadron,NE,Bachelor Degree,Plains,Town: Remote,NA,NA,1916,19528,NA,7122,7152,9500,18500,0.577861163
College of Hair Design-Downtown,Lincoln,NE,Certificate Degree,Plains,City: Large,NA,NA,88,NA,12604,NA,NA,12503,14499,0.711790393
Concordia University-Nebraska,Seward,NE,Bachelor Degree,Plains,Town: Distant,0.7495,24,1233,39667,NA,31000,31000,15154.5,24781.5,0.488448845
Creighton University,Omaha,NE,Bachelor Degree,Plains,City: Large,0.7201,28,4212,51590,NA,38750,38750,23000,25300,0.610714286
Doane University-Arts & Sciences,Crete,NE,Bachelor Degree,Plains,Town: Distant,0.6518,23,1068,44554,NA,32250,32250,17000,23862.5,0.556331007
Grace University,Omaha,NE,Bachelor Degree,Plains,City: Large,0.4591,20,220,33190,NA,23030,23030,12838.5,19500,0.584269663
Hastings College,Hastings,NE,Bachelor Degree,Plains,Town: Distant,0.6833,23,1082,41063,NA,29200,29200,15000,26500,0.465930018
CHI Health School of Radiologic Technology,Omaha,NE,Associate Degree,Plains,City: Large,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
Joseph's College Cosmetology,Lincoln,NE,Certificate Degree,Plains,City: Large,NA,NA,202,NA,21360,NA,NA,11950,14305.5,0.948979592
University of Nebraska at Kearney,Kearney,NE,Bachelor Degree,Plains,Town: Distant,0.8175,22,4440,21605,NA,7294,13194,13000,20980,0.618660287
Purdue University Global-Lincoln,Lincoln,NE,Bachelor Degree,Plains,City: Large,NA,NA,235,NA,NA,15352,15352,12638,28018.5,0.796749238
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,Bachelor Degree,Plains,City: Large,0.6818,23,861,26226,NA,15980,15980,19166.5,23437,0.899253731
Metropolitan Community College Area,Omaha,NE,Associate Degree,Plains,City: Large,NA,NA,7107,10251,NA,2970,4568,3378,6924.5,0.583781778
Mid-Plains Community College,North Platte,NE,Associate Degree,Plains,Town: Remote,NA,NA,1205,10895,NA,3120,3930,5500,8466,0.562217195
Midland University,Fremont,NE,Bachelor Degree,Plains,Town: Distant,0.643,21,1211,41473,NA,31630,31630,14985,27000,0.425948592
Nebraska Christian College of Hope International University,Papillion,NE,Bachelor Degree,Plains,Rural: Fringe,0.4416,19,146,28750,NA,16830,16830,15500,25624.5,0.54368932
University of Nebraska at Omaha,Omaha,NE,Bachelor Degree,Plains,City: Large,0.8653,23,12424,17935,NA,7630,20320,12354,19500,0.560827251
Purdue University Global-Omaha,Omaha,NE,Bachelor Degree,Plains,City: Large,NA,NA,355,23836,NA,15352,15352,12638,28018.5,0.796749238
Nebraska Indian Community College,Macy,NE,Associate Degree,Plains,Rural: Distant,NA,NA,126,17832,NA,4080,4080,NA,NA,0.567567568
University of Nebraska Medical Center,Omaha,NE,Bachelor Degree,Plains,City: Large,NA,NA,849,NA,NA,NA,NA,15000,15000,0.866877972
Nebraska Wesleyan University,Lincoln,NE,Bachelor Degree,Plains,City: Large,0.7126,25,1748,43262,NA,32894,32894,17225,24491,0.574115044
University of Nebraska-Lincoln,Lincoln,NE,Bachelor Degree,Plains,City: Large,0.6438,26,20954,23278,NA,8978,24098,13875,21787.5,0.525061037
Northeast Community College,Norfolk,NE,Associate Degree,Plains,Town: Remote,NA,NA,2693,12740,NA,3405,4545,5700,10261.5,0.5399137
Peru State College,Peru,NE,Bachelor Degree,Plains,Rural: Distant,NA,NA,1388,18089,NA,7260,7260,12161,21573,0.540476191
Summit Christian College,Gering,NE,Bachelor Degree,Plains,Town: Remote,0.4,20,25,14741,NA,6560,6560,NA,NA,NA
College of Saint Mary,Omaha,NE,Bachelor Degree,Plains,City: Large,0.5608,NA,780,40604,NA,19950,19950,21000,26692.5,NA
Southeast Community College Area,Lincoln,NE,Associate Degree,Plains,City: Large,NA,NA,6250,11480,NA,3570,4182,4818,10024,0.511116153
Union College,Lincoln,NE,Bachelor Degree,Plains,City: Large,0.5995,23,747,33890,NA,23070,23070,17588.5,27000,0.62962963
Nebraska College of Technical Agriculture,Curtis,NE,Associate Degree,Plains,Rural: Remote,NA,NA,260,16055,NA,5062,5062,13875,21787.5,0.525061037
Wayne State College,Wayne,NE,Bachelor Degree,Plains,Town: Distant,NA,NA,2610,17371,NA,6848,11986,11330,19921.5,0.575362319
Western Nebraska Community College,Scottsbluff,NE,Associate Degree,Plains,Town: Remote,NA,NA,1186,12248,NA,2760,2928,4400.5,6687,0.578294574
York College,York,NE,Bachelor Degree,Plains,Town: Remote,0.4849,21,428,26750,NA,18760,18760,15000,26000,0.402489627
Rasmussen College-North Dakota,Fargo,ND,Associate Degree,Plains,City: Midsize,NA,NA,525,22323,NA,10935,10935,9774,18254,0.814446146
Bismarck State College,Bismarck,ND,Associate Degree,Plains,City: Small,NA,NA,2892,13144,NA,3832,8896,6500,10500,0.449157467
Dickinson State University,Dickinson,ND,Bachelor Degree,Plains,Town: Remote,0.9897,21,1153,15790,NA,6554,9226,9745,17500,0.585034014
Nueta Hidatsa Sahnish College,New Town,ND,Associate Degree,Plains,Rural: Remote,NA,NA,202,15478,NA,3870,3870,NA,NA,NA
Josef's School of Hair Skin & Body-Grand Forks,Grand Forks,ND,Certificate Degree,Plains,City: Small,NA,NA,41,NA,16977,NA,NA,7915,11500,NA
Headquarters Academy of Hair Design Inc,Minot,ND,Certificate Degree,Plains,Town: Remote,NA,NA,38,NA,16413,NA,NA,9500,12630,NA
University of Jamestown,Jamestown,ND,Bachelor Degree,Plains,Town: Remote,0.6525,22,896,31760,NA,21158,21158,16736,26924,0.495475113
Josef's School of Hair Design Inc-Fargo Downtown,Fargo,ND,Certificate Degree,Plains,City: Midsize,NA,NA,40,NA,16942,NA,NA,12000,12000,NA
Lake Region State College,Devils Lake,ND,Associate Degree,Plains,Town: Remote,NA,NA,684,13703,NA,4336,4336,5500,7700,0.547457627
Cankdeska Cikana Community College,Fort Totten,ND,Associate Degree,Plains,Rural: Distant,NA,NA,225,10208,NA,3300,3300,NA,NA,0.607843137
University of Mary,Bismarck,ND,Bachelor Degree,Plains,Rural: Fringe,0.7635,24,2064,27400,NA,18224,18224,14714.5,21000,0.650952859
Mayville State University,Mayville,ND,Bachelor Degree,Plains,Rural: Remote,0.481,21,825,16433,NA,6456,9084,11636,18539,0.575925926
Minot State University,Minot,ND,Bachelor Degree,Plains,Town: Remote,0.6897,22,2466,15483,NA,6810,6810,12000,18349,0.620545073
Moler Barber College,Fargo,ND,Certificate Degree,Plains,City: Midsize,NA,NA,9,NA,11793,NA,NA,NA,NA,NA
University of North Dakota,Grand Forks,ND,Bachelor Degree,Plains,City: Small,0.8348,24,10351,19670,NA,8447,20047,16850,24489,0.477076238
North Dakota State College of Science,Wahpeton,ND,Associate Degree,Plains,Town: Distant,NA,NA,2109,14675,NA,4880,11870,8750,12000,0.369314736
Dakota College at Bottineau,Bottineau,ND,Associate Degree,Plains,Rural: Remote,NA,NA,454,14661,NA,4419,6223,6500,9675,0.496674058
North Dakota State University-Main Campus,Fargo,ND,Bachelor Degree,Plains,City: Midsize,0.9159,24,11687,19874,NA,8666,20692,15000,22567,0.478885316
Williston State College,Williston,ND,Associate Degree,Plains,Town: Remote,NA,NA,747,17147,NA,5163,5163,5500,7500,0.639618138
JZ Trend Academy Paul Mitchell Partner School,Bismarck,ND,Certificate Degree,Plains,City: Small,NA,NA,35,NA,17555,NA,NA,8493,NA,NA
Sitting Bull College,Fort Yates,ND,Certificate Degree,Plains,Rural: Remote,NA,NA,283,11975,NA,3910,3910,NA,NA,0.633333333
Trinity Bible College and Graduate School,Ellendale,ND,Bachelor Degree,Plains,Rural: Remote,0.4236,21,183,27081,NA,16140,16140,11000,24473,0.413533835
Turtle Mountain Community College,Belcourt,ND,Certificate Degree,Plains,Rural: Remote,NA,NA,511,15609,NA,2250,2250,NA,NA,0.554597701
